epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,RRab_dist,EA_dist,EB_dist,GDOR_DSCUT_dist,template_dist,class,probability
210898824,20.0,0.363381371,0.01816906855,6972.0,2.06,1.59,3.0013554578943364,47769.851677000515,5042.465982614518,6.325523835092371,5455.328516768974,2.1830899019464045,0.5842240300125506,6399.8320170955285,4713.735670981862,,,,,,,,GDOR,0.8943780000000001
210729012,15.54112028,14.68693823,0.945037292382374,5549.0,8.51,0.87,2.7747180565550607,985.5745864611818,47.95814368353166,-0.006358870964058706,258.064031168793,-1.214732840734821,0.05100781059460268,440.3796176531032,332.5391590932744,0.1313803249981712,0.00021175042693930492,15.0,26.24880949681337,21.54065922853801,5.385164807134505,0.15163704762407865,OTHPER,0.993141
211036449,5.450338881,2.930192452,0.5376165621948232,6163.0,1.96,1.42,2.481383356921686,743009.425983878,446.6215320697051,-5.609294227130302,45301.383443489816,145.83929655367115,-11.162026649615798,2049.361999312183,1476.1294112492014,0.5431539835173083,0.007100667071911083,21.93171219946131,1.0,16.0,21.095023109728988,0.3631431467956297,EA,0.6677
210560609,18.3938494,19.51317428,1.0608532154231949,4904.0,0.59,0.63,6.817206628698728,44.27571571686985,11.94357275250032,-0.0016836968657813706,5.410690692571241,0.29742972205202944,0.1744907789177452,7.146531858606522,5.3479296803813074,0.6518032318554076,0.006601941019721018,10.295630140987,15.033296378372908,21.93171219946131,13.038404810405295,1.2015110916781049,Noise,0.9378
210730598,18.3938494,17.39597255,0.9457494280669712,3368.0,0.2,0.18,12.707670684565318,40.482705858876216,12.974563367049086,0.0007430060055667844,5.104248061925044,0.3524921083028607,0.15930247474666662,6.6375405604194375,4.924045780842417,0.4237415286787848,0.004009410500196583,10.295630140987,22.67156809750927,15.132745950421555,11.401754250991381,1.5383426377772391,Noise,0.93061
211058146,13.68411675,14.42270132,1.0539738576843114,3982.0,0.43,0.49,7.827746273511826,167.77168027936568,18.29939403444223,0.0003870377599355752,36.169417269857576,-0.8530659306013857,0.2392373940895509,57.08120957109896,42.914677276000326,0.10135931161358512,0.0006472664494616588,9.433981132056603,21.93171219946131,15.033296378372908,13.892443989449804,0.5698558527675752,OTHPER,0.987155
210650657,0.449029971,11.86179414,26.41648643983277,6398.0,1.36,1.22,3.3254893626191926,19296.737772807828,5868.809548861906,-1.036877750241727,5253.0849782188925,-1.0557615272030971,-0.2969960985252163,8749.006709952257,6350.922660484905,0.10749769509763818,0.0003377100252507556,21.02379604162864,17.029386365926403,2.23606797749979,21.95449840010015,0.15313543546661654,EB,0.940126
210814048,0.062077992,0.067458552,1.0866741952606973,7503.0,2.13,1.7,,3994.4041406073375,2343.0148541733342,0.07398825439127621,704.690629387274,-0.5744568801230603,0.013041692235461292,1053.4252608878303,780.6813413905322,0.14036015387163192,0.0012050945768515295,21.02379604162864,15.556349186104045,17.804493814764854,7.071067811865476,0.2317706226736425,DSCUT,0.952914
210919541,10.39989167,10.96910574,1.0547326922300528,6041.0,2.67,1.63,3.1529696808888086,23944.591656934237,3536.5891538548176,-0.7796268947715002,2302.395952606505,2.578397809957732,-0.3788711433378705,2703.1363536207937,2001.716417775973,0.3179637776101876,0.003736200150843147,9.486832980505136,12.083045973594572,14.866068747318506,20.248456731316587,1.2140497041156142,EA,0.7659090000000001
210656700,0.050975777,0.054367229,1.0665306582771656,7317.0,1.89,1.61,3.6846733974988446,1163.7196122726311,601.3083959935836,-0.06728786304473862,180.64268847333508,-0.1673543988513071,-0.00371395989664804,249.18065122189,184.9875024945581,0.23351199848366705,0.0039869995954728964,19.235384061671343,14.212670403551895,19.416487838947607,7.615773105863909,0.5007745538335052,DSCUT,0.921527
