,epic,DJA_period,SJH_period,class,probability
0,201587445,14.722348,14.68693823,OTHPER,0.993223
0,201375034,18.31735,17.20925021, Noise,0.9813709999999999
0,201691034,19.940414,18.18521939, Noise,0.9821469999999999
0,201534061,18.317349,16.00658621, Noise,0.984075
0,201646800,19.940427,20.0, Noise,0.9830209999999999
0,201488452,0.590457,0.59028026,  RRab,0.760891
0,201193666,0.43295100000000003,0.432963229,    EB,0.971802
0,201460186,19.940403,20.0, Noise,0.985925
0,201458798,0.61934,0.619373175,    EB,0.9982
0,201933752,16.409288,20.0, Noise,0.986116
0,201715393,0.521275,0.521200448,  GDOR,0.749131
0,201253025,6.790071000000001,6.776912013,    EA,0.998633
0,201438515,16.409303,17.7818426, Noise,0.9877379999999999
0,201715262,2.108829,1.05399389,    EB,0.900547
0,201725399,2.160893,2.161996295,    EB,0.9904290000000001
0,201748885,14.191828,9.948185186, Noise,0.984361
0,201576812,5.697264,6.092371644,    EA,0.7054630000000001
0,201814774,1.236492,1.236955657,  GDOR,0.745607
0,201511174,11.934046,11.95020618,OTHPER,0.9901909999999999
0,201855304,14.320832000000001,14.42270132,OTHPER,0.9922790000000001
0,201937413,19.94041,19.51317428, Noise,0.9893569999999999
0,201484494,19.940399,18.60732198, Noise,0.981424
0,201843069,1.096617,1.096960711,    EA,0.774812
0,201673708,13.237773,13.12404942,OTHPER,0.993173
0,201700247,11.016024,11.0446688,OTHPER,0.996481
0,201146397,11.252108999999999,11.19896174,OTHPER,0.994474
0,201683910,19.940438,20.0, Noise,0.9855870000000001
0,201664689,12.703961999999999,12.70795757,OTHPER,0.9920389999999999
0,201417392,16.938627,18.393849399999997, Noise,0.9861549999999999
0,201193506,0.23557600000000004,0.117792896,    EB,0.92425
0,201910513,13.127426999999999,13.12404942,OTHPER,0.990492
0,201731218,13.818347,13.92176057,OTHPER,0.9926649999999999
0,201184068,1.587998,1.5880808119999998,    EA,0.7918270000000001
0,201582850,19.210867,14.96103795, Noise,0.981241
0,201707257,13.818361999999999,13.80191578,OTHPER,0.997816
0,201571675,17.310917,20.0, Noise,0.988339
0,201251164,11.415167,11.43865711,OTHPER,0.9902569999999999
0,201630905,15.444068,19.75358815, Noise,0.982933
0,201870289,7.9964059999999995,7.970069948,OTHPER,0.996384
0,201940505,0.30879,0.308796817,    EB,0.9886209999999999
0,201380321,11.934061,11.95020618,OTHPER,0.9936389999999999
0,201203630,9.664378999999998,19.65248989,OTHPER,0.994265
0,201642107,15.752946,15.39192304,OTHPER,0.9946649999999999
0,201871270,19.940432,20.0, Noise,0.98695
0,201810513,1.6460720000000002,1.645957708,    EA,0.935575
0,201462240,9.376735,9.366980534,OTHPER,0.9947309999999999
0,201552908,15.444035999999999,19.27854202, Noise,0.9841629999999999
0,201415414,19.9404,20.0, Noise,0.984401
0,201617930,17.699907999999997,12.60802469, Noise,0.983828
0,201419249,12.502316,12.60802469,OTHPER,0.9923190000000001
0,201751532,16.409306,17.20925021, Noise,0.984858
0,201634844,16.938647,20.0, Noise,0.9869870000000001
0,201545555,13.818349,18.82580772, Noise,0.987031
0,201152399,11.252108999999999,11.27773617,OTHPER,0.9915299999999999
0,201518712,11.333034,11.35762667,OTHPER,0.9928389999999999
0,201896663,11.333039999999999,11.27773617,OTHPER,0.9908530000000001
0,201723461,7.5917639999999995,19.75358815,    EA,0.7306159999999999
0,201318538,17.896417,18.18521939,OTHPER,0.990144
0,201921381,0.560204,0.560186004,    EB,0.9836530000000001
