epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,Class
206305286,15.84836353,14.96103795,0.944011532905568,5001.0,0.75,0.81,6.143089472221817,OTHPER
206218105,20.0,13.45444989,0.6727224945,5193.0,9.23,0.91,3.3801917783768953,OTHPER
206359136,20.0,18.82580772,0.941290386,4040.0,0.45,0.5,8.897482206977957, Noise
205974719,15.54112028,16.50079498,1.0617506770882543,5081.0,2.93,1.08,2.5859078427127784,OTHPER
206393822,20.0,18.82580772,0.941290386,,,,,
206329204,20.0,14.42270132,0.721135066,,,,,
205941804,17.98126902,19.0494853,1.0594071685825877,4707.0,0.71,0.78,6.452327702312585,OTHPER
206132828,16.00658621,15.10196055,0.943484160324277,4975.0,3.13,1.01,3.6978808379323116, Noise
206260857,3.244460404,15.54112028,4.790047756736316,5009.0,4.75,0.91,0.9582480178918082,OTHPER
206225478,18.393849399999997,19.51317428,1.0608532154231949,4597.0,23.46,0.9,-0.29553512193404785, Noise
206517447,19.75358815,18.60732198,0.9419717490667638,6207.0,1.51,1.2,3.2816725780489318, Noise
206110683,13.12404942,13.92176057,1.0607823945545611,6048.0,1.33,1.1,4.204550637437393, Noise
206092433,18.82580772,17.7818426,0.9445460648739697,5012.0,3.29,1.01,5.069967050042537, Noise
